name,lat,lng
Agdao,7.0902,125.6308
Bago Aplaya,7.0315,125.5612
Bago Gallera,7.0408,125.5486
Bajada,7.0804,125.6115
Bangkal,7.0568,125.5682
Bucana,7.0496,125.6104
Buhangin,7.1131,125.6134
Bunawan,7.2284,125.6351
Calinan,7.1882,125.4561
Catalunan Grande,7.0801,125.5302
Catalunan Pequeno,7.0732,125.5451
Catigan,6.9991,125.4798
Centro,7.0642,125.6081
Dumoy,7.0338,125.5488
Ecoland,7.0548,125.5896
Indangan,7.1254,125.5932
Lanang,7.1102,125.6501
Lapu-Lapu,7.0866,125.6274
Maa,7.0752,125.5804
Malagos,7.2215,125.4288
Mandug,7.1522,125.5936
Matina Aplaya,7.0398,125.5752
Matina Crossing,7.0552,125.5754
Matina Pangi,7.0704,125.5601
Mintal,7.0904,125.4998
Poblacion,7.0644,125.6078
Panacan,7.1528,125.6584
Puan,7.0488,125.5552
Sasa,7.1366,125.6572
Sirawan,6.9804,125.4996
Talomo,7.0502,125.5504
Tibungco,7.2048,125.6432
Toril,7.0172,125.5004
Tugbok,7.1002,125.4802
Ubalde,7.0922,125.6358
Panabo,7.3081,125.6842
Carmen,7.3604,125.7062
Samal,7.0748,125.7086
Talicud,6.9332,125.6834
